product_handle,variant_sku,ingredients,nutrition_facts,serving_size,servings_per_container,directions,warnings,allergen_info,manufacturer,importer,country_of_origin,fssai_license,import_license,needs_review
turmeric,HD-MUSCLE-TURMERIC,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
b-complex,HD-MUSCLE-B-COMPLEX,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
ashwagandha,HD-MUSCLE-ASHWAGANDHA,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
fish-oil,HD-MUSCLE-FISH-OIL,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
zinc,HD-MUSCLE-ZINC,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
vitahd,HD-MUSCLE-VITAHD,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
sleephd,HD-MUSCLE-SLEEPHD,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
omega3,HD-MUSCLE-OMEGA3,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
magnesium,HD-MUSCLE-MAGNESIUM,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
multihd,HD-MUSCLE-MULTIHD,", transparent labels, and clinically dosed formulas.View collectionBACK TO TOPReceive email updates on stuff you'll probably want to know about, including products, launches, and events. All hype, no spam - but you can always unsubscribe at anytime.SUBSCRIBEPRIVACY POLICYTERMS OF SERVICESHIPPING POLICYREFUND POLICYAMEXApple PayDiscoverG PayMastercardShopVISA( INR ₹ )© 2026 HD MUSCLE. All rights reserved.(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])self.__next_f.push([1,""1:HL[\""/_next/static/css/52826a27443c8413.css\"",\""style\""]\n""])self.__next_f.push([1,""2:I[2846,[],\""\""]\n4:I[9107,[],\""ClientPageRoot\""]\n5:I[3360,[\""648\"",\""static/chunks/648-ac0aea44645a4dcc.js\"",\""34\"",\""static/chunks/34-6679f88d9f53b69d.js\"",\""287\"",\""static/chunks/app/products/%5Bhandle%5D/page-6d0701cc0bb76083.js\""],\""default\"",1]\n6:I[4707,[],\""\""]\n8:I[6423,[],\""\""]\n9:I[204,[\""185\"",\""static/chunks/app/layout-cdaba74c85f73abd.js\""],\""StoreProvider\""]\na:I[4721,[\""185\"",\""static/chunks",,,,"\"":\""column\"",\""alignItems\"":\""center\"",\""justifyContent\"":\""center\""},\""children\"":[\""$\"",\""div\"",null,{\""children\"":[[\""$\"",\""style\"",null,{\""dangerouslySetInnerHTML\"":{\""__html\"":\""body{color:#000;background:#fff;margin:0}.next-error-h1{border-right:1px solid rgba(0,0,0,.3)}@media (prefers-color-scheme:dark){body{color:#fff;background:#000}.next-error-h1{border-right:1px solid rgba(255,255,255,.3)}}\""}}],[\""$\"",\""h1\"",null,{\""className\"":\""next-error-h1\"",\""style\"":{\""display\"":\""inline-block\"",\""margin\"":\""0 20px 0 0\"",\""padding\"":\""0 23px 0 0\"",\""fontSize\"":24,\""fontWeight\"":500,\""verticalAlign\"":\""top\"",\""lineHeight\"":\""49px\""},\""children\"":\""404\""}],[\""$\"",\""div\"",null,{\""style\"":{\""display\"":\""inline-block\""},\""children\"":[\""$\"",\""h2\"",null,{\""style\"":{\""fontSize\"":14,\""fontWeight\"":400,\""lineHeight\"":\""49px\"",\""margin\"":0},\""children\"":\""This page could not be found.\""}]}]]}]}]],\""notFoundStyles\"":[]}]}]}]}]}]],null],null],\""couldBeIntercepted\"":false,\""initialHead\"":[null,\""$",,,,,India,,,yes
