Handle,Title,Body (HTML),Vendor,Product Type,Tags,Status,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Policy,Variant Inventory Quantity,Image
adaptogen-functional-mushrooms,Adaptogen & Functional Mushrooms,"<p>Premium adaptogenic mushroom blend for stress relief and immune support. Contains Reishi, Lion's Mane, Cordyceps and more.</p>",Morphogen Nutrition,Supplements,Mushrooms,Active,,52.99,,deny,100,adaptogen.jpg
alphagen-max-preworkout,AlphaGen Max Pre-Workout,"<p>High-performance pre-workout with maximum energy, focus and pump. Contains 300mg caffeine per serving.</p>",Morphogen Nutrition,Supplements,Pre-Workout,Active,,54.99,,deny,100,alphagen-max.jpg
biome-gut-digestion_support,Biome Gut Digestion Support,"<p>Advanced probiotic and digestive enzyme formula for gut health and nutrient absorption.</p>",Morphogen Nutrition,Supplements,Probiotics,Active,,52.99,,deny,100,biome.jpg
bolic-max-recovery,Bolic Max Recovery,"<p>Post-workout recovery formula with BCAAs, glutamine and electrolytes for maximum muscle recovery.</p>",Morphogen Nutrition,Supplements,Recovery,Active,,51.99,,deny,100,bolic.jpg
brain,Brain - Cognitive Support,"<p>Nootropic blend for mental focus, memory and cognitive function. Contains Alpha GPC, Bacopa and more.</p>",Morphogen Nutrition,Supplements,Nootropics,Active,,49.99,,deny,100,brain.jpg
burn,Burn - Thermogenic Fat Burner,"<p>Advanced fat burning formula with green tea extract, L-carnitine and caffeine for metabolism support.</p>",Morphogen Nutrition,Supplements,Fat Burner,Active,,56.99,,deny,100,burn.jpg
calm,Calm - Stress & Anxiety Support,"<p>Natural stress relief formula with Ashwagandha, L-Theanine and Rhodiola for relaxation.</p>",Morphogen Nutrition,Supplements,Stress Relief,Active,,56.99,,deny,100,calm.jpg
carb-fuel,Carb Fuel - Glycogen replenishment,"<p>Fast-absorbing carbohydrate powder for energy and glycogen replenishment during training.</p>",Morphogen Nutrition,Supplements,Carbs,Active,,51.99,,deny,100,
collagen-multi-type-complex,Collagen Multi-Type Complex,"<p>Multi-type collagen peptides for skin, hair, nails and joint health. Types I, II, III and V.</p>",Morphogen Nutrition,Supplements,Collagen,Active,,36.99,,deny,100,collagen.jpg
cortisol_control,Cortisol Control,"<p>Cortisol management supplement with Ashwagandha KSM-66 and sensoril for stress response.</p>",Morphogen Nutrition,Supplements,Cortisol,Active,,48.99,,deny,100,cortisol.jpg
