handle,title,brand_slug,category,subcategory,product_type,short_description,long_description,source_website,source_product_url,created_at,updated_at
turmeric,Turmeric,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Turmeric is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/turmeric/,2026-05-01T18:37:31.780Z,2026-05-01T18:38:48.319Z
b-complex,B-Complex,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle B-Complex is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/b-complex/,2026-05-01T18:37:31.780Z,2026-05-01T18:38:48.319Z
ashwagandha,Ashwagandha,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Ashwagandha is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/ashwagandha/,2026-05-01T18:37:31.780Z,2026-05-01T18:38:48.319Z
fish-oil,Fish Oil,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Fish Oil is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/fish-oil/,2026-05-01T18:37:31.780Z,2026-05-01T18:38:48.319Z
zinc,Zinc,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Zinc is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/zinc/,2026-05-01T18:37:31.780Z,2026-05-01T18:38:48.319Z
vitahd,VitaHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle VitaHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/vitahd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
sleephd,SleepHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle SleepHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/sleephd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
omega3,Omega3,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Omega3 is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/omega3/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
magnesium,Magnesium,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Magnesium is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/magnesium/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
multihd,MultiHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle MultiHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/multihd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
